Date,Open,High,Low,Close,Adj Close,Volume
2009-11-02,3837.000000,3975.050049,3717.649902,3950.449951,3950.449951,28631000
2009-11-09,3976.500000,4140.549805,3955.250000,4114.450195,4114.450195,32606200
2009-11-16,4152.350098,4189.450195,4064.399902,4147.600098,4147.600098,29330900
2009-11-23,4166.850098,4216.899902,3967.050049,4069.050049,4069.050049,28722500
2009-11-30,4132.600098,4276.950195,4124.500000,4238.850098,4238.850098,31355600
2009-12-07,4243.950195,4294.049805,4190.549805,4242.899902,4242.899902,28211700
2009-12-14,4241.200195,4263.250000,4146.600098,4153.049805,4153.049805,24300000
2009-12-21,4159.299805,4314.600098,4128.000000,4300.350098,4300.350098,18450900
2009-12-28,4313.450195,4346.399902,4298.850098,4329.100098,4329.100098,14250700
2010-01-04,4343.100098,4438.649902,4334.950195,4405.299805,4405.299805,32810800
2010-01-11,4439.799805,4482.549805,4361.899902,4468.149902,4468.149902,31940200
2010-01-18,4462.299805,4524.299805,4209.100098,4310.750000,4310.750000,32290500
2010-01-25,4283.549805,4306.200195,4047.100098,4156.049805,4156.049805,27294500
2010-02-01,4130.450195,4242.750000,4004.949951,4023.649902,4023.649902,27475700
2010-02-08,4066.649902,4136.850098,4009.550049,4123.600098,4123.600098,18629100
2010-02-15,4136.399902,4191.049805,4077.600098,4102.700195,4102.700195,21202800
2010-02-22,4151.200195,4170.950195,4066.600098,4127.549805,4127.549805,23392900
2010-03-01,4170.350098,4293.700195,4158.649902,4270.250000,4270.250000,21445300
2010-03-08,4308.700195,4308.700195,4234.700195,4253.350098,4253.350098,21988900
2010-03-15,4237.450195,4327.149902,4221.049805,4324.000000,4324.000000,21390800
2010-03-22,4273.350098,4324.149902,4268.200195,4312.950195,4312.950195,18450300
2010-03-29,4314.299805,4348.350098,4304.299805,4345.200195,4345.200195,16386900
2010-04-05,4372.350098,4446.350098,4364.200195,4410.049805,4410.049805,24511900
2010-04-12,4426.100098,4426.100098,4330.000000,4342.250000,4342.250000,19069700
2010-04-19,4283.899902,4394.100098,4261.649902,4369.000000,4369.000000,22870400
2010-04-26,4383.899902,4396.399902,4302.100098,4368.100098,4368.100098,24999400
2010-05-03,4346.250000,4360.450195,4159.399902,4182.250000,4182.250000,28737400
2010-05-10,4229.250000,4311.899902,4219.850098,4236.649902,4236.649902,24114400
2010-05-17,4192.100098,4246.250000,4044.649902,4101.600098,4101.600098,22801600
2010-05-24,4159.950195,4191.200195,3986.949951,4186.799805,4186.799805,24787900
2010-05-31,4188.899902,4270.750000,4142.700195,4263.450195,4263.450195,24946000
2010-06-07,4165.450195,4268.549805,4136.950195,4247.250000,4247.250000,22138200
2010-06-14,4268.649902,4364.750000,4260.799805,4328.649902,4328.649902,28386200
2010-06-21,4374.850098,4399.649902,4353.200195,4365.850098,4365.850098,26391700
2010-06-28,4387.649902,4432.450195,4352.200195,4382.549805,4382.549805,25054000
2010-07-05,4381.000000,4469.250000,4372.399902,4461.549805,4461.549805,21329500
2010-07-12,4470.500000,4528.100098,4458.750000,4490.049805,4490.049805,23735500
2010-07-19,4472.350098,4554.899902,4465.700195,4523.250000,4523.250000,22063700
2010-07-26,4534.450195,4534.450195,4470.450195,4475.149902,4475.149902,21997300
2010-08-02,4501.799805,4571.149902,4501.799805,4539.850098,4539.850098,22188600
2010-08-09,4549.799805,4591.350098,4503.000000,4576.399902,4576.399902,25129600
2010-08-16,4585.700195,4643.549805,4535.600098,4629.549805,4629.549805,26030100
2010-08-23,4641.700195,4665.100098,4539.950195,4550.899902,4550.899902,23757500
2010-08-30,4598.149902,4633.950195,4497.799805,4623.649902,4623.649902,21372300
